title,author,upvotes,polarity,emotion,topics
গীজার (geyser) কিনতে চাচ্ছি,Select-Day-873,8,-0.75,neutral,"Food/Dining, Shopping/Commerce"
Fb page posting pics of women without consent,jasontoddloverr,23,-0.7333333333333333,anger,General
National bank,No_Tailor2427,3,-0.5,neutral,Technology/Gadgets
Ladies: hair parlor?,TurbulentCup5219,7,-0.4,neutral,"Technology/Gadgets, Shopping/Commerce"
Is the internet in Dhaka fast and stable for video calls?,78523985210,4,-0.375,neutral,"Housing/Real Estate, Technology/Gadgets, Travel/Transportation"
Khuni ekhono tar laash ke bhalobashe,KopaShamsur,3,-0.375,neutral,"Housing/Real Estate, Education/Career, Politics/Government"
Pantheon?,aunnyglitch,2,-0.35000000000000003,neutral,General
How do i pass HSC ICT?,nimbus2346,1,-0.33999999999999997,anger,"Technology/Gadgets, Education/Career, Health/Medical, Relationships/Social"
Life mistakes..,RadoanIslamEthan,10,-0.33333333333333326,anger,Housing/Real Estate
Kinda proud of this pic I took a couple of days ago,ComfyNeo,81,-0.32222222222222224,neutral,"Housing/Real Estate, Technology/Gadgets, Relationships/Social, Infrastructure/Urban"
Is Ali2BD reliable?,SalaryImpressive7469,13,-0.28750000000000003,trust,"Housing/Real Estate, Shopping/Commerce"
Afraid to attend job interview,Great-Object1436,3,-0.27499999999999997,anger,"Technology/Gadgets, Education/Career"
Trusted source to donate online?,SpecialistLow1164,5,-0.25,trust,General
Ideology,IllustriousArmy7201,2,-0.25,neutral,General
Secret garden as a wedding venue?,swan_lake81,3,-0.20000000000000004,neutral,"Technology/Gadgets, Food/Dining, Relationships/Social"
