title,author,upvotes,combined_polarity,topics
⚠️ Top-listed criminal shot dead in broad daylight,AtikulIslam4142,185,-0.1549768518518519,"Education, Relationships, Health/Medical, Food/Restaurants, Politics/Government, Technology, Real Estate, Infrastructure"
Kinda proud of this pic I took a couple of days ago,ComfyNeo,81,0.2388888888888889,"Relationships, Technology, Real Estate, Infrastructure"
Horrible experience at Dhaka to Dubai flight with emirates,Former-Type1623,63,-0.5701388888888889,"Travel/Tourism, Technology, Real Estate, Infrastructure"
Gym Flings!,Almostfamous_02,39,-0.09226562499999999,Relationships
Fb page posting pics of women without consent,jasontoddloverr,23,-0.36666666666666664,Other
Dhaka's traffic is getting worse and no one seems to care,StockholmSyndrome_69,23,-0.2683333333333333,"Politics/Government, Real Estate, Infrastructure"
Is Ali2BD reliable?,SalaryImpressive7469,13,-0.14375000000000002,Shopping/Commerce
Life mistakes..,RadoanIslamEthan,10,-0.16666666666666663,Real Estate
"No friends, loosing sanity",iam_tourist,8,-0.09046527777777777,"Career/Jobs, Relationships, Travel/Tourism, Sports, Technology, Real Estate"
গীজার (geyser) কিনতে চাচ্ছি,Select-Day-873,8,-0.375,"Shopping/Commerce, Food/Restaurants"
Any querier service to send iPad outside Dhaka.,muaz_moss,7,-0.08333333333333333,"Technology, Real Estate"
Ladies: hair parlor?,TurbulentCup5219,7,-0.2,"Shopping/Commerce, Technology"
Looking for a Job.,iamnoman18,5,-0.05833333333333332,"Education, Career/Jobs, Shopping/Commerce, Sports, Technology, Real Estate, Infrastructure"
"Bangladesh, India to hold talks in Delhi on Ganges water-sharing treaty on Tuesday",Alone-Attention-2139,5,-0.09583333333333333,"Food/Restaurants, Technology, Real Estate"
Trusted source to donate online?,SpecialistLow1164,5,-0.125,Other
How do you deal with Anxiety?,SquareProtonWave,5,-0.06875,Health/Medical
Perfume Decants are a scam,azim-_-,4,-0.05500000000000001,"Shopping/Commerce, Real Estate"
Is the internet in Dhaka fast and stable for video calls?,78523985210,4,-0.0875,"Travel/Tourism, Technology, Real Estate"
অনেক বাংলাদেশি অভিবাসীর সবচেয়ে বড় বাধা প্রায়ই তাদের নিজের কমিউনিটিই হয়। একটি সাম্প্রতিক ঘটনা দেখিয়েছে—কীভাবে একজন লোক ব্যক্তিগত বিরোধের কারণে নতুনদের সাহায্য করার জন্য তৈরি একটি সাপোর্ট গ্রুপকে নিজের ইচ্ছামতো গেটকিপিং করছিল। বিষয়টি জানার পরও সিনিয়র সদস্যরা গুরুত্ব দিয়ে দেখেননি,jbttss,4,-0.08333333333333333,Other
CA ki khub hard?,light_yagami004,4,-0.20416666666666666,Other
